order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
66334,"['Safety', 30.002000000000002]","['Material Handling', 20.1099]","['Cleaning', 18.2424]","['Lubrication', 17.418100000000003]","['Adhesives, Sealants and Tape', 17.3615]","['Hand Tools', 17.0087]","['Fasteners', 15.435400000000001]","['Electrical', 15.3809]","['Lighting', 14.1725]","['Power Tools', 13.738499999999998]","['Machining', 12.817599999999999]","['Abrasives', 12.797799999999999]","['Electronics, Appliances, and Batteries', 12.5092]","['Plumbing', 11.8215]","['Pneumatics', 11.812100000000001]"
66361,"['Material Handling', 77.65189999999997]","['Cleaning', 69.16740000000001]","['Safety', 68.98320000000001]","['Hand Tools', 52.18809999999998]","['Adhesives, Sealants and Tape', 50.01839999999999]","['Power Tools', 45.0165]","['Electrical', 44.86469999999999]","['HVAC and Refrigeration', 41.8636]","['Plumbing', 39.92029999999999]","['Lighting', 38.6533]","['Electronics, Appliances, and Batteries', 35.6202]","['Abrasives', 35.325399999999995]","['Machining', 34.11780000000001]","['Lubrication', 33.72229999999999]","['Paint, Equipment and Supplies', 32.8918]"
66619,"['Cleaning', 28.589299999999998]","['Safety', 23.168000000000003]","['Adhesives, Sealants and Tape', 17.5653]","['Hand Tools', 15.0127]","['Lubrication', 13.3976]","['Electronics, Appliances, and Batteries', 12.4149]","['Material Handling', 12.1986]","['Electrical', 11.900000000000002]","['Abrasives', 10.7765]","['Power Tools', 10.5828]","['Lighting', 10.135800000000001]","['Machining', 9.796199999999999]","['Paint, Equipment and Supplies', 9.4777]","['Plumbing', 9.3733]","['Pneumatics', 9.000300000000001]"
66768,"['Safety', 20.9209]","['Electronics, Appliances, and Batteries', 12.573]","['Adhesives, Sealants and Tape', 10.5486]","['Hand Tools', 10.3128]","['Cleaning', 9.687700000000001]","['Electrical', 7.012]","['Abrasives', 6.195499999999999]","['Power Tools', 6.075]","['Lighting', 5.988099999999999]","['Material Handling', 5.9673]","['Machining', 5.5273]","['Lubrication', 5.4222]","['Plumbing', 5.0889999999999995]","['Paint, Equipment and Supplies', 5.0336]","['Fasteners', 4.8148]"
66849,"['Safety', 15.2098]","['Cleaning', 7.2639]","['Adhesives, Sealants and Tape', 6.8231]","['Hand Tools', 6.5669]","['Lubrication', 5.2151]","['Electrical', 4.7715]","['Electronics, Appliances, and Batteries', 4.7492]","['Material Handling', 4.1899999999999995]","['Power Tools', 4.1588]","['Abrasives', 4.1449]","['Lighting', 3.7503]","['Machining', 3.7437]","['Plumbing', 3.4995000000000003]","['Paint, Equipment and Supplies', 3.359]","['Fasteners', 3.3279]"
66883,"['Cleaning', 36.4992]","['Safety', 26.384]","['Hand Tools', 16.616200000000003]","['Adhesives, Sealants and Tape', 16.395699999999998]","['Abrasives', 13.887799999999999]","['Electrical', 12.580200000000001]","['Electronics, Appliances, and Batteries', 12.551100000000002]","['Material Handling', 12.5398]","['Paint, Equipment and Supplies', 11.6465]","['Power Tools', 11.2524]","['Lubrication', 11.005600000000001]","['Machining', 10.5112]","['Plumbing', 9.803999999999998]","['Pneumatics', 9.535499999999999]","['Lighting', 9.5104]"
66916,"['Hand Tools', 21.788700000000002]","['Power Tools', 9.941600000000001]","['Safety', 9.2091]","['Adhesives, Sealants and Tape', 8.4285]","['Cleaning', 8.4015]","['Electrical', 7.6413]","['Electronics, Appliances, and Batteries', 6.973800000000001]","['Material Handling', 6.5412]","['Machining', 6.2858]","['Abrasives', 6.195]","['Lubrication', 6.0741]","['Lighting', 5.9444]","['Fasteners', 5.155099999999999]","['Pneumatics', 5.1494]","['Paint, Equipment and Supplies', 4.9817]"
67077,"['Safety', 29.2567]","['Fasteners', 18.205800000000004]","['Welding', 17.8453]","['Cleaning', 17.7588]","['Adhesives, Sealants and Tape', 16.9892]","['Hand Tools', 16.2601]","['Abrasives', 15.3505]","['Electrical', 14.1939]","['Lubrication', 13.739700000000001]","['Electronics, Appliances, and Batteries', 13.616700000000002]","['Power Tools', 13.131499999999999]","['Material Handling', 13.019100000000002]","['Pneumatics', 12.718100000000002]","['Machining', 12.302900000000001]","['Plumbing', 11.5882]"
67226,"['Hand Tools', 87.9634]","['Safety', 81.34429999999999]","['Cleaning', 73.35309999999998]","['Adhesives, Sealants and Tape', 57.07919999999999]","['Material Handling', 47.6801]","['Electronics, Appliances, and Batteries', 45.95610000000001]","['Paint, Equipment and Supplies', 43.28429999999999]","['Abrasives', 42.863899999999994]","['Electrical', 42.8524]","['Power Tools', 42.366499999999995]","['Lubrication', 39.255900000000004]","['Machining', 36.427400000000006]","['Lighting', 35.492200000000004]","['Plumbing', 34.21770000000001]","['Pneumatics', 32.02439999999999]"
67250,"['Hand Tools', 14.2492]","['Cleaning', 11.618899999999996]","['Safety', 11.570999999999998]","['Material Handling', 9.316899999999999]","['Power Tools', 8.9307]","['Adhesives, Sealants and Tape', 8.7589]","['Electrical', 8.0886]","['Lighting', 7.5832000000000015]","['Abrasives', 7.192899999999999]","['Machining', 7.1239]","['Lubrication', 6.6899]","['Electronics, Appliances, and Batteries', 6.596]","['Pneumatics', 6.3994]","['Plumbing', 5.6898]","['Fasteners', 5.575699999999999]"
67254,"['Safety', 64.1797]","['Hand Tools', 44.7289]","['Adhesives, Sealants and Tape', 44.723699999999994]","['Cleaning', 38.3439]","['Abrasives', 36.461000000000006]","['Electronics, Appliances, and Batteries', 33.6981]","['Electrical', 28.556699999999996]","['Power Tools', 26.307399999999994]","['Material Handling', 25.474700000000002]","['Paint, Equipment and Supplies', 24.4283]","['Machining', 23.952800000000003]","['Lighting', 23.420999999999996]","['Lubrication', 23.2494]","['Welding', 23.081899999999997]","['Plumbing', 21.0809]"
67295,"['Fasteners', 18.864700000000003]","['Plumbing', 15.705]","['Adhesives, Sealants and Tape', 12.515699999999999]","['Pneumatics', 12.171400000000002]","['Electrical', 11.368400000000001]","['Cleaning', 9.672]","['Machining', 8.624799999999999]","['Lubrication', 8.3541]","['Hand Tools', 7.687599999999998]","['Safety', 7.6011999999999995]","['Abrasives', 7.2403]","['Power Tools', 7.182400000000001]","['Electronics, Appliances, and Batteries', 6.3412999999999995]","['Material Handling', 5.980099999999999]","['Fleet and Vehicle Maintenance', 5.8797999999999995]"
67329,"['Electrical', 10.975200000000001]","['Safety', 9.9388]","['Cleaning', 8.915899999999999]","['Material Handling', 8.2789]","['Hand Tools', 7.549499999999999]","['Adhesives, Sealants and Tape', 6.9147]","['Power Tools', 6.2006000000000006]","['Plumbing', 5.921799999999999]","['Abrasives', 5.512]","['Fasteners', 5.169899999999999]","['Machining', 4.968400000000001]","['Electronics, Appliances, and Batteries', 4.859400000000001]","['Pneumatics', 4.8339]","['Lighting', 4.662599999999999]","['Lubrication', 4.4978]"
67360,"['Plumbing', 23.6596]","['Hand Tools', 12.4604]","['Adhesives, Sealants and Tape', 11.4856]","['Electrical', 10.8965]","['Cleaning', 9.3264]","['Fasteners', 9.2234]","['Pneumatics', 8.8747]","['Safety', 8.3769]","['Machining', 7.5771999999999995]","['Power Tools', 7.161899999999999]","['Lubrication', 6.852]","['Abrasives', 6.8165]","['Electronics, Appliances, and Batteries', 6.4411000000000005]","['Material Handling', 6.2637]","['Lighting', 6.0458]"
67546,"['Test Instruments', 3.2026]","['Safety', 2.3039]","['Hand Tools', 1.2212]","['Cleaning', 1.0793]","['Adhesives, Sealants and Tape', 0.9808]","['Power Tools', 0.9676]","['Material Handling', 0.9252]","['Electrical', 0.9009]","['Lighting', 0.8884]","['Electronics, Appliances, and Batteries', 0.7504000000000001]","['Machining', 0.6744]","['Abrasives', 0.6583]","['Plumbing', 0.6435]","['Lubrication', 0.6177]","['Pneumatics', 0.6152]"
67578,"['Hand Tools', 20.0169]","['Adhesives, Sealants and Tape', 13.775200000000002]","['Safety', 12.638300000000001]","['Cleaning', 12.001999999999999]","['Power Tools', 9.8014]","['Electrical', 8.158500000000002]","['Electronics, Appliances, and Batteries', 7.5811]","['Material Handling', 7.4237]","['Abrasives', 7.3178]","['Machining', 7.099899999999999]","['Lighting', 6.5992999999999995]","['Lubrication', 6.506200000000001]","['Paint, Equipment and Supplies', 5.9566]","['Pneumatics', 5.9336]","['Plumbing', 5.887099999999999]"
67598,"['Safety', 22.2261]","['Hand Tools', 9.2869]","['Cleaning', 9.196200000000001]","['Electronics, Appliances, and Batteries', 9.0155]","['Adhesives, Sealants and Tape', 8.551]","['Electrical', 6.535]","['Lighting', 6.3166]","['Material Handling', 5.7933]","['Power Tools', 5.6922999999999995]","['Abrasives', 5.5191]","['Machining', 4.8900999999999994]","['Office Supplies', 4.8485]","['Lubrication', 4.7951]","['Plumbing', 4.6238]","['Paint, Equipment and Supplies', 4.5343]"
67599,"['Safety', 46.0591]","['Hand Tools', 27.3528]","['Abrasives', 25.2363]","['Cleaning', 23.9755]","['Electronics, Appliances, and Batteries', 22.933400000000002]","['Adhesives, Sealants and Tape', 22.6877]","['Welding', 18.4583]","['Electrical', 17.151699999999998]","['Power Tools', 16.427999999999997]","['Lighting', 15.919900000000002]","['Material Handling', 15.7322]","['Machining', 14.8369]","['Lubrication', 14.306]","['Paint, Equipment and Supplies', 13.191800000000002]","['Pneumatics', 12.677999999999999]"
67639,"['Electrical', 8.170800000000002]","['Cleaning', 6.7789]","['Adhesives, Sealants and Tape', 6.2238999999999995]","['Plumbing', 5.6751000000000005]","['Material Handling', 5.3987]","['Safety', 4.602999999999999]","['Hand Tools', 4.554499999999999]","['Fleet and Vehicle Maintenance', 4.526]","['Fasteners', 4.0833]","['Power Tools', 3.9555000000000002]","['Pneumatics', 3.9495999999999998]","['Lubrication', 3.6805000000000003]","['Machining', 3.6631000000000005]","['Abrasives', 3.5686999999999993]","['Electronics, Appliances, and Batteries', 3.5589000000000004]"
67747,"['Hand Tools', 28.679299999999998]","['Safety', 16.5979]","['Cleaning', 12.747199999999998]","['Power Tools', 12.604900000000002]","['Adhesives, Sealants and Tape', 12.208900000000002]","['Material Handling', 12.120799999999997]","['Fleet and Vehicle Maintenance', 10.561000000000002]","['Lighting', 10.2592]","['Electrical', 10.0965]","['Electronics, Appliances, and Batteries', 9.3049]","['Abrasives', 8.9264]","['Machining', 8.7209]","['Lubrication', 7.8911999999999995]","['Paint, Equipment and Supplies', 7.4722]","['Pneumatics', 7.3713999999999995]"
67831,"['Safety', 31.0]","['Hand Tools', 11.897799999999998]","['Cleaning', 11.7583]","['Adhesives, Sealants and Tape', 10.6919]","['Electrical', 8.193299999999999]","['Electronics, Appliances, and Batteries', 8.180900000000001]","['Material Handling', 7.2447]","['Power Tools', 7.1021]","['Abrasives', 6.776599999999999]","['Lighting', 6.5348]","['Machining', 6.045]","['Lubrication', 5.793900000000001]","['Plumbing', 5.7195]","['Paint, Equipment and Supplies', 5.4126]","['Fasteners', 5.4064]"
68041,"['Electronics, Appliances, and Batteries', 6.1677]","['Office Supplies', 4.0045]","['Hand Tools', 3.9531]","['Adhesives, Sealants and Tape', 3.4403999999999995]","['Safety', 2.7674]","['Cleaning', 2.7014]","['Lighting', 2.1203]","['Electrical', 2.0921000000000003]","['Abrasives', 2.074]","['Power Tools', 1.9683]","['Lubrication', 1.8672]","['Material Handling', 1.8396]","['Machining', 1.8308000000000002]","['Paint, Equipment and Supplies', 1.7752]","['Plumbing', 1.5766999999999998]"
68081,"['Safety', 16.5722]","['Hand Tools', 9.1078]","['Cleaning', 9.0886]","['Adhesives, Sealants and Tape', 8.027999999999999]","['Abrasives', 6.526199999999999]","['Electronics, Appliances, and Batteries', 6.420400000000001]","['Electrical', 5.6606]","['Power Tools', 5.1402]","['Material Handling', 5.0554]","['Machining', 4.6035]","['Lighting', 4.4835]","['Lubrication', 4.4229]","['Plumbing', 4.1253]","['Paint, Equipment and Supplies', 4.040900000000001]","['Fasteners', 3.9565]"
68115,"['Safety', 13.255299999999998]","['Hand Tools', 8.594]","['Cleaning', 7.6333]","['Power Tools', 7.448300000000001]","['Adhesives, Sealants and Tape', 7.3318]","['Electrical', 6.2727]","['Lighting', 6.2151]","['Material Handling', 5.878099999999999]","['Electronics, Appliances, and Batteries', 5.1328000000000005]","['Abrasives', 4.5595]","['Machining', 4.4663]","['Lubrication', 4.0654]","['Plumbing', 4.0514]","['Fasteners', 3.9372999999999996]","['Paint, Equipment and Supplies', 3.8615999999999997]"
68137,"['Cleaning', 12.034299999999998]","['Hand Tools', 11.344299999999997]","['Fasteners', 11.213799999999999]","['Safety', 10.5274]","['Electrical', 9.9537]","['Material Handling', 9.163200000000002]","['Adhesives, Sealants and Tape', 8.9271]","['Power Tools', 8.898900000000001]","['Plumbing', 8.5771]","['Machining', 7.8500000000000005]","['Abrasives', 7.370100000000002]","['Pneumatics', 6.817799999999999]","['Lighting', 6.733199999999999]","['Electronics, Appliances, and Batteries', 6.470599999999999]","['Lubrication', 6.3417]"
68142,"['Material Handling', 84.7235]","['Safety', 71.25629999999998]","['Cleaning', 67.60000000000001]","['Hand Tools', 67.30160000000002]","['Adhesives, Sealants and Tape', 53.83450000000002]","['Electrical', 53.14340000000001]","['Power Tools', 49.812700000000014]","['Lighting', 46.155499999999996]","['Plumbing', 45.36739999999999]","['Fasteners', 41.6869]","['Pneumatics', 41.2414]","['HVAC and Refrigeration', 41.026199999999996]","['Electronics, Appliances, and Batteries', 40.0712]","['Abrasives', 38.3852]","['Machining', 38.3614]"
68425,"['Hand Tools', 8.8853]","['Machining', 8.1243]","['Electrical', 4.4979000000000005]","['Adhesives, Sealants and Tape', 4.4848]","['Safety', 4.3078]","['Cleaning', 4.218999999999999]","['Power Tools', 4.1769]","['Lubrication', 3.9744]","['Abrasives', 3.6288]","['Fasteners', 3.4238999999999997]","['Pneumatics', 3.3099]","['Electronics, Appliances, and Batteries', 3.1989]","['Material Handling', 3.1791]","['Plumbing', 3.0412]","['Lighting', 2.7079]"
68466,"['Plumbing', 12.5778]","['Furniture, Hospitality and Food Service', 7.3347]","['Adhesives, Sealants and Tape', 5.5337]","['Safety', 5.4268]","['Pneumatics', 5.411]","['Electrical', 5.320399999999999]","['Cleaning', 4.9002]","['Fasteners', 4.7616]","['Outdoor Equipment', 4.3763000000000005]","['Hand Tools', 4.016]","['Machining', 3.826]","['Material Handling', 3.7216000000000005]","['Lubrication', 3.6446000000000005]","['Abrasives', 3.5247999999999995]","['Electronics, Appliances, and Batteries', 3.5076]"
68468,"['Hand Tools', 38.5212]","['Safety', 15.430500000000002]","['Power Tools', 15.0144]","['Cleaning', 13.821300000000003]","['Adhesives, Sealants and Tape', 13.588]","['Material Handling', 11.506400000000001]","['Electrical', 11.153200000000002]","['Lighting', 10.435100000000002]","['Electronics, Appliances, and Batteries', 10.1466]","['Machining', 9.9158]","['Abrasives', 9.856]","['Lubrication', 8.2989]","['Pneumatics', 7.9762]","['Paint, Equipment and Supplies', 7.9704]","['Fasteners', 7.8577]"
68485,"['Hand Tools', 15.4536]","['Safety', 6.060899999999999]","['Cleaning', 5.393700000000001]","['Test Instruments', 5.268]","['Adhesives, Sealants and Tape', 5.262]","['Power Tools', 5.1504]","['Electrical', 4.3713]","['Material Handling', 4.3008]","['Electronics, Appliances, and Batteries', 3.9545999999999997]","['Lighting', 3.9003]","['Machining', 3.8334]","['Abrasives', 3.8061]","['Lubrication', 3.2304]","['Pneumatics', 3.1410000000000005]","['Paint, Equipment and Supplies', 3.0909]"
68512,"['Fasteners', 14.562499999999998]","['Electrical', 10.0046]","['Plumbing', 9.8464]","['Pneumatics', 7.6964]","['Adhesives, Sealants and Tape', 7.280199999999999]","['Machining', 5.7794]","['Cleaning', 5.2049]","['Hand Tools', 4.8878]","['Lubrication', 4.7751]","['Power Tools', 4.771199999999999]","['Safety', 4.747499999999999]","['Abrasives', 4.522799999999999]","['Electronics, Appliances, and Batteries', 3.9009]","['Material Handling', 3.7582999999999998]","['Lighting', 3.5284999999999997]"
68650,"['Machining', 7.0]","['Fasteners', 1.8563999999999998]","['Adhesives, Sealants and Tape', 1.8494]","['Power Tools', 1.8487]","['Abrasives', 1.7850000000000001]","['Pneumatics', 1.7486]","['Electrical', 1.6681000000000001]","['Hand Tools', 1.6562000000000001]","['Lubrication', 1.6086]","['Cleaning', 1.5652]","['Plumbing', 1.512]","['Safety', 1.365]","['Electronics, Appliances, and Batteries', 1.2523]","['Material Handling', 1.1948999999999999]","['Paint, Equipment and Supplies', 1.0787]"
68699,"['Plumbing', 21.0563]","['Power Tools', 9.1769]","['Electrical', 9.0083]","['Safety', 8.8219]","['Hand Tools', 8.429200000000002]","['Adhesives, Sealants and Tape', 8.2226]","['Fasteners', 8.011]","['Lighting', 7.859199999999999]","['Pneumatics', 7.6226]","['Cleaning', 7.4072]","['Machining', 6.596]","['Lubrication', 5.719399999999999]","['Abrasives', 5.6986]","['Material Handling', 5.6174]","['Electronics, Appliances, and Batteries', 5.525]"
68800,"['Cleaning', 12.7541]","['Safety', 12.2621]","['Material Handling', 12.1818]","['Hand Tools', 9.106499999999999]","['Adhesives, Sealants and Tape', 8.235599999999998]","['Electrical', 7.9556000000000004]","['Lighting', 7.3646]","['Plumbing', 7.1573]","['Electronics, Appliances, and Batteries', 7.0311]","['Power Tools', 6.560199999999999]","['Fasteners', 6.103400000000001]","['Abrasives', 5.863099999999999]","['Machining', 5.6754999999999995]","['Lubrication', 5.585099999999999]","['Pneumatics', 5.4841999999999995]"
68833,"['Safety', 46.7228]","['Electrical', 44.9264]","['Cleaning', 41.9834]","['Material Handling', 38.64229999999999]","['Hand Tools', 36.773999999999994]","['HVAC and Refrigeration', 34.09940000000001]","['Adhesives, Sealants and Tape', 33.5611]","['Plumbing', 33.37369999999999]","['Pneumatics', 28.862800000000004]","['Power Tools', 27.87990000000001]","['Fasteners', 27.268699999999995]","['Lighting', 25.878999999999998]","['Abrasives', 24.282199999999996]","['Electronics, Appliances, and Batteries', 24.186600000000006]","['Machining', 23.9783]"
68977,"['Electronics, Appliances, and Batteries', 7.482000000000001]","['Office Supplies', 7.1356]","['Hand Tools', 4.4771]","['Lighting', 3.4726000000000004]","['Adhesives, Sealants and Tape', 3.2887]","['Safety', 3.2325999999999997]","['Cleaning', 3.1884000000000006]","['Electrical', 2.4663000000000004]","['Abrasives', 2.3948]","['Power Tools', 2.3662]","['Material Handling', 2.3179]","['Lubrication', 2.1765000000000003]","['Paint, Equipment and Supplies', 2.1527]","['Machining', 2.0702]","['Plumbing', 1.8274]"
68979,"['Safety', 34.7876]","['Electronics, Appliances, and Batteries', 15.775100000000002]","['Hand Tools', 15.113499999999998]","['Cleaning', 14.969600000000002]","['Adhesives, Sealants and Tape', 13.9956]","['Office Supplies', 11.579]","['Lighting', 10.878]","['Electrical', 10.6991]","['Material Handling', 9.5946]","['Power Tools', 9.380099999999999]","['Abrasives', 9.1252]","['Machining', 8.0291]","['Lubrication', 7.9777000000000005]","['Paint, Equipment and Supplies', 7.5995]","['Plumbing', 7.5988]"
68980,"['Electronics, Appliances, and Batteries', 1.0]","['Adhesives, Sealants and Tape', 0.287]","['Safety', 0.2639]","['Cleaning', 0.2625]","['Hand Tools', 0.2488]","['Lighting', 0.2182]","['Abrasives', 0.2081]","['Electrical', 0.1952]","['Lubrication', 0.1887]","['Machining', 0.1789]","['Paint, Equipment and Supplies', 0.1786]","['Power Tools', 0.1614]","['Plumbing', 0.1545]","['Material Handling', 0.1533]","['Pneumatics', 0.1516]"
68981,"['Safety', 34.6817]","['Hand Tools', 16.7545]","['Cleaning', 14.6613]","['Electronics, Appliances, and Batteries', 14.409400000000002]","['Adhesives, Sealants and Tape', 13.6847]","['Electrical', 10.4511]","['Lighting', 9.523299999999999]","['Power Tools', 9.2724]","['Material Handling', 9.2092]","['Abrasives', 8.8749]","['Machining', 7.9701]","['Lubrication', 7.6547]","['Plumbing', 7.361]","['Paint, Equipment and Supplies', 7.1975]","['Fasteners', 6.9952000000000005]"
68982,"['Electronics, Appliances, and Batteries', 2.0]","['Adhesives, Sealants and Tape', 0.574]","['Safety', 0.5278]","['Cleaning', 0.525]","['Hand Tools', 0.4976]","['Lighting', 0.4364]","['Abrasives', 0.4162]","['Electrical', 0.3904]","['Lubrication', 0.3774]","['Machining', 0.3578]","['Paint, Equipment and Supplies', 0.3572]","['Power Tools', 0.3228]","['Plumbing', 0.309]","['Material Handling', 0.3066]","['Pneumatics', 0.3032]"
69049,"['Plumbing', 22.866]","['Fasteners', 8.2256]","['Electrical', 7.850499999999999]","['Pneumatics', 7.165]","['HVAC and Refrigeration', 7.1242]","['Adhesives, Sealants and Tape', 6.3365]","['Cleaning', 5.393599999999999]","['Machining', 5.3084]","['Lubrication', 4.8056]","['Safety', 4.6258]","['Hand Tools', 4.5014]","['Power Tools', 4.4649]","['Abrasives', 4.3903]","['Lighting', 4.1394]","['Material Handling', 3.9606]"
69067,"['Hand Tools', 49.6088]","['Safety', 38.996100000000006]","['Abrasives', 34.3985]","['Adhesives, Sealants and Tape', 31.204600000000006]","['Cleaning', 31.0865]","['Power Tools', 30.2859]","['Material Handling', 30.1219]","['Machining', 29.171100000000006]","['Electrical', 28.6164]","['Electronics, Appliances, and Batteries', 27.119699999999998]","['Lighting', 21.53]","['Pneumatics', 21.5239]","['Lubrication', 21.4694]","['Fasteners', 20.682400000000005]","['Paint, Equipment and Supplies', 20.145899999999997]"
69317,"['HVAC and Refrigeration', 6.7629]","['Cleaning', 6.312899999999999]","['Material Handling', 6.0729]","['Electrical', 5.199600000000002]","['Power Tools', 5.1205]","['Safety', 4.6754]","['Hand Tools', 4.2197000000000005]","['Adhesives, Sealants and Tape', 4.1579]","['Outdoor Equipment', 3.4920999999999993]","['Lighting', 3.4043999999999994]","['Plumbing', 3.3016]","['Hardware', 3.133]","['Abrasives', 3.0185999999999997]","['Machining', 3.0050999999999997]","['Electronics, Appliances, and Batteries', 2.9924]"
69628,"['Cleaning', 36.2571]","['Safety', 34.1727]","['Hand Tools', 27.7992]","['Adhesives, Sealants and Tape', 23.2766]","['Material Handling', 21.9128]","['Plumbing', 21.3334]","['Electrical', 20.3343]","['Power Tools', 19.3617]","['Pneumatics', 18.7263]","['Lighting', 18.375700000000002]","['Electronics, Appliances, and Batteries', 18.318600000000004]","['Abrasives', 18.289199999999997]","['Fasteners', 17.6464]","['Lubrication', 16.7923]","['Machining', 16.4917]"
69629,"['Cleaning', 35.17109999999999]","['Safety', 20.494699999999998]","['Adhesives, Sealants and Tape', 19.273500000000002]","['Material Handling', 17.6226]","['Electrical', 17.489200000000004]","['Hand Tools', 17.4532]","['Plumbing', 16.4327]","['Power Tools', 15.866199999999996]","['Paint, Equipment and Supplies', 15.231499999999999]","['Lubrication', 13.960300000000002]","['Fleet and Vehicle Maintenance', 13.548300000000001]","['Electronics, Appliances, and Batteries', 13.4556]","['Machining', 13.427200000000003]","['Abrasives', 13.268599999999998]","['Lighting', 12.567100000000003]"
69645,"['Safety', 12.799199999999999]","['Machining', 12.439100000000002]","['Hand Tools', 11.9138]","['Adhesives, Sealants and Tape', 10.636499999999998]","['Electrical', 8.6567]","['Cleaning', 8.4545]","['Electronics, Appliances, and Batteries', 7.935300000000002]","['Power Tools', 7.8431]","['Abrasives', 6.6307]","['Fasteners', 6.109]","['Lubrication', 5.9125000000000005]","['Material Handling', 5.888]","['Pneumatics', 5.814299999999999]","['Plumbing', 5.7842]","['Lighting', 5.3604]"
69697,"['Safety', 9.2381]","['Fasteners', 7.1356]","['Cleaning', 6.899500000000001]","['Hand Tools', 4.9138]","['Adhesives, Sealants and Tape', 4.9003]","['Electrical', 4.5623000000000005]","['Machining', 4.4178]","['Plumbing', 3.7842]","['Power Tools', 3.6279999999999997]","['Electronics, Appliances, and Batteries', 3.5733000000000006]","['Abrasives', 3.5080999999999998]","['Pneumatics', 3.4744]","['Material Handling', 3.4169]","['Lubrication', 3.3537]","['Lighting', 2.8389999999999995]"
69722,"['Safety', 23.506999999999998]","['Adhesives, Sealants and Tape', 15.0131]","['Hand Tools', 13.607199999999999]","['Cleaning', 11.6397]","['Electronics, Appliances, and Batteries', 10.943399999999999]","['Electrical', 8.7487]","['Abrasives', 8.4481]","['Power Tools', 7.851800000000001]","['Material Handling', 7.4597]","['Lighting', 7.0838]","['Machining', 7.0406]","['Paint, Equipment and Supplies', 7.040000000000001]","['Lubrication', 6.8287]","['Plumbing', 6.4369]","['Fasteners', 6.0818]"
69745,"['Safety', 25.325300000000002]","['Hand Tools', 12.9192]","['Adhesives, Sealants and Tape', 12.815399999999999]","['Cleaning', 12.2521]","['Electronics, Appliances, and Batteries', 10.693800000000001]","['Electrical', 8.451400000000001]","['Material Handling', 8.1822]","['Power Tools', 7.532699999999999]","['Abrasives', 7.3308]","['Lighting', 6.9204]","['Machining', 6.6099000000000006]","['Lubrication', 6.416800000000001]","['Plumbing', 6.0938]","['Paint, Equipment and Supplies', 5.9623]","['Fasteners', 5.7719000000000005]"
69915,"['Cleaning', 71.9374]","['Safety', 64.84209999999999]","['Material Handling', 62.8604]","['Hand Tools', 49.553099999999986]","['Adhesives, Sealants and Tape', 47.299099999999996]","['Electrical', 46.4188]","['HVAC and Refrigeration', 42.43360000000002]","['Lighting', 41.0698]","['Plumbing', 40.893100000000004]","['Power Tools', 38.857899999999994]","['Electronics, Appliances, and Batteries', 36.260600000000004]","['Abrasives', 33.4015]","['Fleet and Vehicle Maintenance', 32.28889999999999]","['Lubrication', 31.832]","['Machining', 31.430800000000005]"
69989,"['Test Instruments', 5.7117]","['Hand Tools', 5.0942]","['Cleaning', 2.8873]","['Safety', 2.421]","['Power Tools', 2.3223000000000003]","['Adhesives, Sealants and Tape', 2.1529]","['Material Handling', 2.0681000000000003]","['Electrical', 1.9529]","['Lighting', 1.8902]","['Machining', 1.644]","['Electronics, Appliances, and Batteries', 1.6287]","['Abrasives', 1.5731]","['Pneumatics', 1.4473]","['Lubrication', 1.4468999999999999]","['Paint, Equipment and Supplies', 1.3831]"
70172,"['Abrasives', 3.1589]","['Material Handling', 3.0331]","['Fasteners', 2.9856]","['Hand Tools', 2.6128]","['Electronics, Appliances, and Batteries', 2.2648]","['Adhesives, Sealants and Tape', 2.0774]","['Cleaning', 2.0517000000000003]","['Electrical', 1.9122]","['Safety', 1.9011]","['Machining', 1.7973]","['Power Tools', 1.7682]","['Plumbing', 1.6122]","['Pneumatics', 1.6105999999999998]","['Lubrication', 1.5622]","['Paint, Equipment and Supplies', 1.3306]"
70630,"['Pneumatics', 4.245]","['Welding', 2.49]","['Plumbing', 1.3628]","['Electrical', 1.2922]","['Fasteners', 1.2588]","['Machining', 1.2454]","['Adhesives, Sealants and Tape', 1.2032]","['Abrasives', 1.1404]","['Lubrication', 1.1166]","['Cleaning', 1.1156]","['Power Tools', 1.0472000000000001]","['Hand Tools', 1.0428000000000002]","['Material Handling', 0.9054]","['Safety', 0.897]","['Fleet and Vehicle Maintenance', 0.8845999999999999]"
71232,"['Safety', 62.9719]","['Adhesives, Sealants and Tape', 48.28599999999998]","['Hand Tools', 46.9019]","['Cleaning', 39.3343]","['Abrasives', 35.92829999999999]","['Electronics, Appliances, and Batteries', 33.993300000000005]","['Electrical', 28.260800000000003]","['Power Tools', 26.4387]","['Material Handling', 25.418499999999998]","['Machining', 24.211500000000004]","['Paint, Equipment and Supplies', 23.695200000000003]","['Lubrication', 23.458499999999997]","['Lighting', 22.6647]","['Plumbing', 21.3599]","['Pneumatics', 20.670599999999997]"
