order_number,Rec_0,Rec_1,Rec_2,Rec_3,Rec_4,Rec_5,Rec_6,Rec_7,Rec_8,Rec_9,Rec_10,Rec_11,Rec_12,Rec_13,Rec_14
190463,"['Electronics, Appliances, and Batteries', 1.0]","['Adhesives, Sealants and Tape', 0.287]","['Safety', 0.2639]","['Cleaning', 0.2625]","['Hand Tools', 0.2488]","['Lighting', 0.2182]","['Abrasives', 0.2081]","['Electrical', 0.1952]","['Lubrication', 0.1887]","['Machining', 0.1789]","['Paint, Equipment and Supplies', 0.1786]","['Power Tools', 0.1614]","['Plumbing', 0.1545]","['Material Handling', 0.1533]","['Pneumatics', 0.1516]"
190469,"['Fasteners', 14.850000000000001]","['Pneumatics', 14.606200000000001]","['Plumbing', 12.327399999999999]","['Electrical', 11.556799999999999]","['Adhesives, Sealants and Tape', 7.558300000000001]","['Abrasives', 7.454000000000001]","['Machining', 7.4018]","['Cleaning', 7.295400000000001]","['Lubrication', 6.1915]","['Hand Tools', 6.1599]","['Power Tools', 5.9775]","['Safety', 5.8517]","['Electronics, Appliances, and Batteries', 4.9158]","['Material Handling', 4.8807]","['Paint, Equipment and Supplies', 4.277699999999999]"
190488,"['Safety', 27.4392]","['Hand Tools', 10.8067]","['Cleaning', 10.749600000000001]","['Adhesives, Sealants and Tape', 9.7517]","['Electronics, Appliances, and Batteries', 7.555200000000001]","['Electrical', 7.548599999999999]","['Lighting', 6.920999999999999]","['Material Handling', 6.8052]","['Power Tools', 6.5905]","['Abrasives', 6.1975]","['Machining', 5.534700000000001]","['Lubrication', 5.372400000000001]","['Plumbing', 5.3114]","['Paint, Equipment and Supplies', 5.0957]","['Fasteners', 4.957]"
190539,"['Safety', 14.963999999999999]","['Hand Tools', 11.0722]","['Cleaning', 10.388300000000001]","['Adhesives, Sealants and Tape', 7.3941]","['Electronics, Appliances, and Batteries', 7.196899999999999]","['Electrical', 5.694699999999999]","['Power Tools', 5.3327]","['Material Handling', 5.2795000000000005]","['Abrasives', 5.010199999999999]","['Lighting', 4.6861]","['Machining', 4.5802]","['Lubrication', 4.4048]","['Paint, Equipment and Supplies', 4.1142]","['Plumbing', 4.0758]","['Fasteners', 3.9320000000000004]"
190876,"['Fasteners', 55.24020000000001]","['Electrical', 24.5605]","['Plumbing', 19.607100000000003]","['Pneumatics', 16.926099999999998]","['Machining', 16.601200000000002]","['Adhesives, Sealants and Tape', 15.918700000000001]","['Hand Tools', 14.7026]","['Safety', 14.644199999999998]","['Cleaning', 13.905899999999999]","['Power Tools', 13.442100000000002]","['Lubrication', 13.010699999999998]","['Abrasives', 12.222599999999998]","['Electronics, Appliances, and Batteries', 10.324900000000001]","['Power Transmission', 10.260099999999998]","['Material Handling', 10.0465]"
190974,"['Safety', 11.7983]","['Electrical', 8.284400000000002]","['Cleaning', 6.524500000000001]","['Adhesives, Sealants and Tape', 6.3418]","['Hand Tools', 6.3366999999999996]","['Material Handling', 6.146899999999999]","['Plumbing', 5.9654]","['Electronics, Appliances, and Batteries', 5.3812]","['Power Tools', 4.7221]","['Outdoor Equipment', 4.5967]","['Paint, Equipment and Supplies', 4.5346]","['Fasteners', 4.4055]","['Lighting', 4.3841]","['Abrasives', 4.2965]","['Machining', 4.1907000000000005]"
190989,"['HVAC and Refrigeration', 3.3842]","['Electrical', 2.7014]","['Adhesives, Sealants and Tape', 1.9929999999999999]","['Plumbing', 1.3066]","['Cleaning', 1.246]","['Hand Tools', 1.1883]","['Safety', 1.1678]","['Fasteners', 1.1281]","['Power Tools', 1.1186]","['Lighting', 1.1104]","['Pneumatics', 1.0415999999999999]","['Material Handling', 1.0013999999999998]","['Lubrication', 0.9704]","['Machining', 0.9592]","['Electronics, Appliances, and Batteries', 0.9333]"
191023,"['Fasteners', 23.1966]","['Electrical', 7.6880999999999995]","['Plumbing', 7.4173]","['Pneumatics', 6.4115]","['Machining', 6.3232]","['Adhesives, Sealants and Tape', 5.6622]","['Cleaning', 5.5218]","['Lubrication', 4.8991999999999996]","['Power Tools', 4.837999999999999]","['Hand Tools', 4.6346]","['Abrasives', 4.5059]","['Safety', 4.390499999999999]","['Electronics, Appliances, and Batteries', 3.6343000000000005]","['Material Handling', 3.5233]","['Fleet and Vehicle Maintenance', 3.0626]"
191032,"['Adhesives, Sealants and Tape', 1.0]","['Safety', 0.3449]","['Cleaning', 0.3423]","['Hand Tools', 0.3314]","['Electrical', 0.3108]","['Electronics, Appliances, and Batteries', 0.287]","['Abrasives', 0.2825]","['Lubrication', 0.269]","['Machining', 0.2642]","['Power Tools', 0.256]","['Plumbing', 0.255]","['Fasteners', 0.2313]","['Pneumatics', 0.2279]","['Paint, Equipment and Supplies', 0.2253]","['Lighting', 0.2187]"
191033,"['Fasteners', 12.6736]","['Pneumatics', 10.5388]","['Cleaning', 7.4409]","['Electrical', 6.1614]","['Plumbing', 6.0623]","['Machining', 5.295]","['Adhesives, Sealants and Tape', 5.2775]","['Hand Tools', 4.553599999999999]","['Lubrication', 4.4777000000000005]","['Safety', 4.4169]","['Abrasives', 4.3077]","['Power Tools', 4.2521]","['Material Handling', 3.6218000000000004]","['Electronics, Appliances, and Batteries', 3.5772000000000004]","['Paint, Equipment and Supplies', 3.0838]"
